0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:50:05 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:50:05 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:50:06 +0530] "GET /newJsp/getUser.jsp HTTP/1.1" 500 7058
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:50:09 +0530] "GET /newJsp/getUser.jsp HTTP/1.1" 200 406
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:50:14 +0530] "GET /newJsp/getUser.jsp HTTP/1.1" 500 7058
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:50:16 +0530] "GET /newJsp/getUser.jsp HTTP/1.1" 200 406
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:52:03 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:52:03 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:52:03 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:52:04 +0530] "GET /newJsp/getUser.jsp HTTP/1.1" 500 2087
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:53:00 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:53:00 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:53:00 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:53:01 +0530] "GET /newJsp/getUser.jsp HTTP/1.1" 200 406
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:54:34 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:54:34 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:54:35 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:54:36 +0530] "GET /newJsp/getUser.jsp HTTP/1.1" 200 877
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:55:03 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:55:05 +0530] "GET /newJsp/getUser.jsp HTTP/1.1" 200 877
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:55:28 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:59:09 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:59:09 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:59:11 +0530] "GET /newJsp/getUser.jsp HTTP/1.1" 500 2099
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:59:41 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:59:41 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:59:43 +0530] "GET /newJsp/getUser.jsp HTTP/1.1" 200 877
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:02:36 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:02:36 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:02:36 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:02:36 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:02:36 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:02:38 +0530] "GET /newJsp/getUser.jsp?id= HTTP/1.1" 500 2097
0:0:0:0:0:0:0:1 - - [15/Mar/2023:11:03:12 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1247
